gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,cusip,curcdq,datacqtr,datafqtr,acoq,actq,altoq,ancq,anoq,capr1q,capr2q,capr3q,capsftq,capsq,cheq,chq,dlcq,dlttq,invtq,ivstq,lcoq,lctq,lltq,optvolq,tfvaq,tfvlq,amcy,cdvcy,chechy,dlcchy,dltisy,dltry,dvpy,dvy,esubcy,invchy,ivstchy,costat,dvpspq,dvpsxq,prchq,prclq
1045,20100331,2010,1,INDL,C,D,STD,AAL,02376R102,USD,2010Q1,2010Q1,434,6834,2317,18691,0,,,,,4412,5006,189,1140,10420,552,4817,5961,8241,21176,,4966,45,,,36,,,291,0,0,,,-111,A,0,0,10.5,6.79
1045,20100630,2010,2,INDL,C,D,STD,AAL,02376R102,USD,2010Q2,2010Q2,320,7344,2300,18541,0,,,,,4424,5545,197,1829,9668,569,5348,6225,9359,20456,,5403,43,,,44,,,467,0,0,,,-642,A,0,0,9.35,5.91
1045,20100930,2010,3,INDL,C,D,STD,AAL,02376R102,USD,2010Q3,2010Q3,369,6837,2257,18520,0,,,,,4434,5004,202,1776,9513,575,4802,5943,8939,20061,,4934,6,,,49,,426,873,0,0,,,-96,A,0,0,7.48,5.8602
1045,20101231,2010,4,INDL,C,D,STD,AAL,02376R102,USD,2010Q4,2010Q4,560,6838,2236,18250,0,,,,,4445,4946,168,1883,9253,594,4778,5741,8780,20253,75.15,5047,0,,,15,,542,1154,0,0,,-81,-72,A,0,0,8.98,5.92
1045,20110331,2011,1,INDL,C,D,STD,AAL,02376R102,USD,2011Q1,2011Q1,1054,8825,2247,18288,0,,,,,4455,6254,286,1962,10156,595,5968,6624,9853,21209,,6661,0,,,118,,1164,323,0,0,,,-1190,A,0,0,8.89,6.05
1045,20110630,2011,2,INDL,C,D,STD,AAL,02376R102,USD,2011Q2,2011Q2,778,7997,1716,17790,0,,,,,4459,5633,318,1830,10052,641,5315,6645,9766,20530,,5677,0,,,150,,1717,1184,0,0,,,-537,A,0,0,6.79,5.4
1045,20110930,2011,3,INDL,C,D,STD,AAL,02376R102,USD,2011Q3,2011Q3,512,6838,1827,17881,0,,,,,4467,4770,304,1453,10167,631,4466,6320,8923,20629,,4572,0,,,136,,1784,1527,0,0,,,312,A,0,0,5.54,2.94
1045,20111231,2011,4,INDL,C,D,STD,AAL,02376R102,USD,2011Q4,2011Q4,499,6757,1891,17091,0,,,,,4465,4739,283,1518,6702,617,4456,6105,8630,22329,74.45,4551,0,,,115,,2569,2545,0,0,,-64,322,A,0,0,3.1,0.2
1045,20120331,2012,1,INDL,C,D,STD,AAL,02376R102,USD,2012Q1,2012Q1,513,7778,1928,16733,0,,,,,4470,5590,375,1659,6891,619,5215,6548,9543,23654,,5339,0,,,92,,324,314,0,0,,,-759,A,0,0,0.832,0.24
1045,20120630,2012,2,INDL,C,D,STD,AAL,02376R102,USD,2012Q2,2012Q2,510,7984,2077,16742,0,,,,,4475,5752,371,1654,6716,593,5381,7050,10066,23628,,5405,0,,,88,,568,602,0,0,,,-924,A,0,0,0.599,0.44
1045,20120930,2012,3,INDL,C,D,STD,AAL,02376R102,USD,2012Q3,2012Q3,474,7303,2129,16624,0,,,,,4477,5073,508,1544,6489,596,4565,6759,9586,21716,,4663,0,,,225,,0,991,0,0,,,-109,A,0,0,0.56,0.356
1045,20121231,2012,4,INDL,C,D,STD,AAL,02376R102,USD,2012Q4,2012Q4,626,7072,2167,16438,0,,,,,4481,4742,480,1419,7116,580,4262,6641,9304,22193,,4327,0,,,197,,268,1288,0,0,,17,194,A,0,0,0.988,0.3601
1045,20130331,2013,1,INDL,C,D,STD,AAL,02376R102,USD,2013Q1,2013Q1,590,7525,2159,16327,0,,,,,4483,5097,606,1286,7021,595,4491,7264,9990,22238,,4557,0,,,126,,161,394,0,0,,,-229,A,0,0,4.52,0.8012
1045,20130630,2013,2,INDL,C,D,STD,AAL,02376R102,USD,2013Q2,2013Q2,597,9635,2172,16581,0,,,,,4484,7073,604,1327,8354,589,6469,7835,10669,23763,,6474,0,,,124,,1684,551,0,0,,,-2207,A,0,0,7.15,3.1
1045,20130930,2013,3,INDL,C,D,STD,AAL,02376R102,USD,2013Q3,2013Q3,522,10241,2214,16539,0,,,,,4488,7698,717,1359,9208,681,6981,7432,10098,24604,,7039,0,,,237,,4082,2052,0,0,,,-2719,A,0,0,6.24,2.06
1045,20131231,2013,4,INDL,C,D,STD,AAL,02376R102,USD,2013Q4,2013Q4,1465,14323,2299,27955,0,,,,,10594,10286,1140,1446,15353,1012,9146,10992,13806,31203,,9255,0,,,660,,5134,2926,0,0,,,-1034,A,0,0,27.2,4.03
1045,20140331,2014,1,INDL,C,D,STD,AAL,02376R102,USD,2014Q1,2014Q1,1522,15193,2192,28544,0,,,,,14040,10611,1259,1441,15244,1052,9352,11992,15079,27563,,9402,0,,,119,,224,501,0,0,,,-206,A,0,0,39.88,25.06
1045,20140630,2014,2,INDL,C,D,STD,AAL,02376R102,USD,2014Q2,2014Q2,1551,14966,2190,29845,0,,,,,15879,10341,1210,1523,15205,1093,9131,11912,15088,25637,,9131,0,,,70,,534,1145,0,0,,,15,A,0,0,44.88,31.86
1045,20140930,2014,3,INDL,C,D,STD,AAL,02376R102,USD,2014Q3,2014Q3,1533,13450,2166,30723,0,,,,,15943,8774,1178,1439,15651,1182,7596,10951,13888,25314,,7596,0,,,38,,2407,2780,0,72,,,1550,A,0.1,0.1,44,34.34
1045,20141231,2014,4,INDL,C,D,STD,AAL,02376R102,USD,2014Q4,2014Q4,1260,12112,2244,31659,0,,,,,15135,8077,994,1708,16196,1004,7083,10350,13435,28315,,7083,0,,,-146,,3302,3132,0,144,,,2060,A,0.1,0.1,54.64,28.1
