GVKEY,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT,conm,tic,cusip
1045,LC,21020,20010,19500101,19620130,AMERICAN AIRLINES GROUP INC,AAL,02376R102
1045,LC,21020,20010,20131209,E,AMERICAN AIRLINES GROUP INC,AAL,02376R102
1045,LC,21020,20010,19620131,20120104,AMERICAN AIRLINES GROUP INC,AAL,02376R102
1075,LU,27991,21409,19620131,E,PINNACLE WEST CAPITAL CORP,PNW,723484101
1078,LC,20482,20017,19500101,19620130,ABBOTT LABORATORIES,ABT,2824100
1078,LC,20482,20017,19620131,E,ABBOTT LABORATORIES,ABT,2824100
1111,LC,79678,12499,19931022,20080709,ACTIVISION INC,ATVI.1,4930202
1161,LU,61241,211,19721214,E,ADVANCED MICRO DEVICES,AMD,7903107
1209,LC,28222,20030,19620131,E,AIR PRODUCTS & CHEMICALS INC,APD,9158106
1230,LU,28804,20035,19660131,E,ALASKA AIR GROUP INC,ALK,11659109
1300,LC,10145,22168,19620131,E,HONEYWELL INTERNATIONAL INC,HON,438516106
1327,LU,45911,20058,19680313,E,SKYWORKS SOLUTIONS INC,SWKS,83088M102
1356,LC,24643,20060,19620131,20161031,ALCOA INC,AA.3,13817507
1380,LU,28484,20064,19690131,E,HESS CORP,HES,42809H107
1440,LC,24109,20077,19620131,E,AMERICAN ELECTRIC POWER CO,AEP,25537101
1440,LC,24109,20077,19510101,19620130,AMERICAN ELECTRIC POWER CO,AEP,25537101
1447,LU,59176,90,19721214,E,AMERICAN EXPRESS CO,AXP,25816109
1449,LU,57904,92,19730823,E,AFLAC INC,AFL,1055102
1487,LC,66800,137,19721214,E,AMERICAN INTERNATIONAL GROUP,AIG,26874784
1598,LC,85257,32054,19970808,E,AMETEK INC,AME,31100100
1602,LU,14008,216,19830617,E,AMGEN INC,AMGN,31162100
1632,LC,60871,282,19721214,E,ANALOG DEVICES,ADI,32654105
1678,LU,39490,20204,19640131,E,APACHE CORP,APA,37411105
1690,LU,14593,7,19801212,E,APPLE INC,AAPL,37833100
1704,LU,14702,194,19721214,E,APPLIED MATERIALS INC,AMAT,38222105
1722,LC,10516,20207,19620131,E,ARCHER-DANIELS-MIDLAND CO,ADM,39483102
1722,LC,10516,20207,19501230,19620130,ARCHER-DANIELS-MIDLAND CO,ADM,39483102
1878,LU,85631,7623,19850731,E,AUTODESK INC,ADSK,52769106
1891,LC,44644,20235,19670626,E,AUTOMATIC DATA PROCESSING,ADP,53015103
1913,LU,44601,20238,19670620,E,AVERY DENNISON CORP,AVY,53611109
1976,LC,75034,20253,19870424,20170704,BAKER HUGHES INC,BHI,57224107
1988,LU,57568,20257,19721214,E,BALL CORP,BLL,58498106
2019,LC,49656,20265,19691204,E,BANK OF NEW YORK MELLON CORP,BK,64058100
2086,LC,27887,20277,19620131,E,BAXTER INTERNATIONAL INC,BAX,71813109
2111,LU,39642,20284,19630925,E,BECTON DICKINSON & CO,BDX,75887109
2136,LC,65875,20288,19831130,E,VERIZON COMMUNICATIONS INC,VZ,92343V104
2184,LU,85914,7506,19850531,E,BEST BUY CO INC,BBY,86516101
2269,LU,49373,20309,19691013,E,BLOCK H & R INC,HRB,93671105
2285,LU,19561,20315,19500101,19620130,BOEING CO,BA,97023105
2285,LU,19561,20315,19620131,E,BOEING CO,BA,97023105
2312,LU,52230,469,19710415,E,ROBERT HALF INTL INC,RHI,770323103
2403,LU,19393,20331,19500101,19620130,BRISTOL-MYERS SQUIBB CO,BMY,110122108
2403,LU,19393,20331,19620131,E,BRISTOL-MYERS SQUIBB CO,BMY,110122108
2547,LC,64186,20357,19820420,E,CIGNA CORP,CI,125523100
2574,LC,62148,20370,19801113,E,CSX CORP,CSX,126408103
2663,LU,25320,20384,19620131,E,CAMPBELL SOUP CO,CPB,134429109
2710,LC,69796,1015,19930901,E,CONSTELLATION BRANDS,STZ,21036P108
2710,LC,69796,1015,19860714,19930831,CONSTELLATION BRANDS,STZ,21036P108
2710,LC,64899,1015,19930901,E,CONSTELLATION BRANDS,STZ,21036P108
2710,LC,64899,1015,19730228,19930831,CONSTELLATION BRANDS,STZ,21036P108
2751,LC,21371,6262,19830804,E,CARDINAL HEALTH INC,CAH,14149Y108
2817,LC,18542,20408,19620131,E,CATERPILLAR INC,CAT,149123101
