gvkey,splticrm,datadate,conm,tic,cusip
1045,B-,20100131,AMERICAN AIRLINES GROUP INC,AAL,02376R102
1045,B-,20100228,AMERICAN AIRLINES GROUP INC,AAL,02376R102
1045,B-,20100331,AMERICAN AIRLINES GROUP INC,AAL,02376R102
1045,B-,20100430,AMERICAN AIRLINES GROUP INC,AAL,02376R102
1045,B-,20100531,AMERICAN AIRLINES GROUP INC,AAL,02376R102
1045,B-,20100630,AMERICAN AIRLINES GROUP INC,AAL,02376R102
1045,B-,20100731,AMERICAN AIRLINES GROUP INC,AAL,02376R102
1045,B-,20100831,AMERICAN AIRLINES GROUP INC,AAL,02376R102
1045,B-,20100930,AMERICAN AIRLINES GROUP INC,AAL,02376R102
1045,B-,20101031,AMERICAN AIRLINES GROUP INC,AAL,02376R102
1045,B-,20101130,AMERICAN AIRLINES GROUP INC,AAL,02376R102
1045,B-,20101231,AMERICAN AIRLINES GROUP INC,AAL,02376R102
1045,B-,20110131,AMERICAN AIRLINES GROUP INC,AAL,02376R102
1045,B-,20110228,AMERICAN AIRLINES GROUP INC,AAL,02376R102
1045,B-,20110331,AMERICAN AIRLINES GROUP INC,AAL,02376R102
1045,B-,20110430,AMERICAN AIRLINES GROUP INC,AAL,02376R102
1045,B-,20110531,AMERICAN AIRLINES GROUP INC,AAL,02376R102
1045,B-,20110630,AMERICAN AIRLINES GROUP INC,AAL,02376R102
1045,B-,20110731,AMERICAN AIRLINES GROUP INC,AAL,02376R102
1045,B-,20110831,AMERICAN AIRLINES GROUP INC,AAL,02376R102
1045,B-,20110930,AMERICAN AIRLINES GROUP INC,AAL,02376R102
1045,B-,20111031,AMERICAN AIRLINES GROUP INC,AAL,02376R102
1045,D,20111130,AMERICAN AIRLINES GROUP INC,AAL,02376R102
1045,D,20111231,AMERICAN AIRLINES GROUP INC,AAL,02376R102
1045,D,20120131,AMERICAN AIRLINES GROUP INC,AAL,02376R102
1045,D,20120229,AMERICAN AIRLINES GROUP INC,AAL,02376R102
1045,D,20120331,AMERICAN AIRLINES GROUP INC,AAL,02376R102
1045,D,20120430,AMERICAN AIRLINES GROUP INC,AAL,02376R102
1045,D,20120531,AMERICAN AIRLINES GROUP INC,AAL,02376R102
1045,D,20120630,AMERICAN AIRLINES GROUP INC,AAL,02376R102
1045,D,20120731,AMERICAN AIRLINES GROUP INC,AAL,02376R102
1045,D,20120831,AMERICAN AIRLINES GROUP INC,AAL,02376R102
